noc_title_2016,noc_title_2021,prov,noc_2016,noc_2016_title,skill_level,noc_2021,noc_2021_title,teer_category,noc_version,min_wage,median_wage,max_wage,mean_wage,source,reference_period,revision_date
2231 - Civil engineering technologists and technicians,22300 - Civil engineering technologists and technicians,,2231,Civil engineering technologists and technicians,B,22300,,2,"2016, 2021",20.0,31.25,52.0,34.01,Labour Force Survey,2020-2021,2022-11-16
2232 - Mechanical engineering technologists and technicians,22301 - Mechanical engineering technologists and technicians,,2232,Mechanical engineering technologists and technicians,B,22301,,2,"2016, 2021",22.12,33.0,49.52,34.82,Labour Force Survey,2020-2021,2022-11-16
2233 - Industrial engineering and manufacturing technologists and technicians,22302 - Industrial engineering and manufacturing technologists and technicians,,2233,Industrial engineering and manufacturing technologists and technicians,B,22302,,2,"2016, 2021",19.0,30.0,45.0,31.91,Labour Force Survey,2020-2021,2022-11-16
2234 - Construction estimators,22303 - Construction estimators,,2234,Construction estimators,B,22303,,2,"2016, 2021",21.0,32.75,49.04,34.96,Labour Force Survey,2020-2021,2022-11-16
2241 - Electrical and electronics engineering technologists and technicians,22310 - Electrical and electronics engineering technologists and technicians,,2241,Electrical and electronics engineering technologists and technicians,B,22310,,2,"2016, 2021",21.63,36.06,51.44,36.76,Labour Force Survey,2020-2021,2022-11-16
2242 - Electronic service technicians (household and business equipment),22311 - Electronic service technicians (household and business equipment),,2242,Electronic service technicians (household and business equipment),B,22311,,2,"2016, 2021",16.53,25.64,40.0,27.44,Labour Force Survey,2020-2021,2022-11-16
2243 - Industrial instrument technicians and mechanics,22312 - Industrial instrument technicians and mechanics,,2243,Industrial instrument technicians and mechanics,B,22312,,2,"2016, 2021",23.0,37.8,58.0,40.58,Labour Force Survey,2020-2021,2022-11-16
"2244 - Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","22313 - Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",B,22313,,2,"2016, 2021",20.0,36.82,47.93,35.66,Labour Force Survey,2020-2021,2022-11-16
2251 - Architectural technologists and technicians,22210 - Architectural technologists and technicians,,2251,Architectural technologists and technicians,B,22210,,2,"2016, 2021",20.0,30.0,48.01,32.08,Labour Force Survey,2020-2021,2022-11-16
2252 - Industrial designers,22211 - Industrial designers,,2252,Industrial designers,B,22211,,2,"2016, 2021",19.0,29.0,45.5,31.53,Labour Force Survey,2020-2021,2022-11-16
2253 - Drafting technologists and technicians,22212 - Drafting technologists and technicians,,2253,Drafting technologists and technicians,B,22212,,2,"2016, 2021",20.0,28.7,41.44,30.05,Labour Force Survey,2020-2021,2022-11-16
2254 - Land survey technologists and technicians,22213 - Land survey technologists and technicians,,2254,Land survey technologists and technicians,B,22213,,2,"2016, 2021",19.0,31.75,44.1,32.14,Labour Force Survey,2020-2021,2022-11-16
2255 - Technical occupations in geomatics and meteorology,22214 - Technical occupations in geomatics and meteorology,,2255,Technical occupations in geomatics and meteorology,B,22214,,2,"2016, 2021",20.0,33.65,48.08,34.38,Labour Force Survey,2020-2021,2022-11-16
2261 - Non-destructive testers and inspection technicians,22230 - Non-destructive testers and inspectors,,2261,Non-destructive testers and inspection technicians,B,22230,Non-destructive testers and inspectors,2,2016,25.0,38.46,52.0,38.56,Labour Force Survey,2020-2021,2022-11-16
2262 - Engineering inspectors and regulatory officers,22231 - Engineering inspectors and regulatory officers,,2262,Engineering inspectors and regulatory officers,B,22231,,2,"2016, 2021",27.88,40.58,57.69,42.51,Labour Force Survey,2020-2021,2022-11-16
2263 - Inspectors in public and environmental health and occupational health and safety,,,2263,Inspectors in public and environmental health and occupational health and safety,B,,,,2016,22.25,37.44,57.0,38.81,Labour Force Survey,2020-2021,2022-11-16
2264 - Construction inspectors,22233 - Construction inspectors,,2264,Construction inspectors,B,22233,,2,"2016, 2021",23.99,32.97,50.0,35.08,Labour Force Survey,2020-2021,2022-11-16
"2271 - Air pilots, flight engineers and flying instructors","72600 - Air pilots, flight engineers and flying instructors",,2271,"Air pilots, flight engineers and flying instructors",B,72600,,2,"2016, 2021",22.85,45.6,77.88,47.61,Labour Force Survey,2020-2021,2022-11-16
2272 - Air traffic controllers and related occupations,72601 - Air traffic controllers and related occupations,,2272,Air traffic controllers and related occupations,B,72601,,2,"2016, 2021",20.6,45.0,85.0,49.41,Labour Force Survey,2020-2021,2022-11-16
"2273 - Deck officers, water transport","72602 - Deck officers, water transport",,2273,"Deck officers, water transport",B,72602,,2,"2016, 2021",21.25,34.86,54.95,36.65,Labour Force Survey,2020-2021,2022-11-16
"2274 - Engineer officers, water transport","72603 - Engineer officers, water transport",,2274,"Engineer officers, water transport",B,72603,,2,"2016, 2021",25.51,41.0,55.77,39.6,Labour Force Survey,2020-2021,2022-11-16
2275 - Railway traffic controllers and marine traffic regulators,72604 - Railway traffic controllers and marine traffic regulators,,2275,Railway traffic controllers and marine traffic regulators,B,72604,,2,"2016, 2021",26.38,45.5,58.7,43.65,2016 Census,2016,2022-11-16
2281 - Computer network technicians,,,2281,Computer network technicians,B,,,,2016,19.23,32.0,49.0,33.75,Labour Force Survey,2020-2021,2022-11-16
2282 - User support technicians,22221 - User support technicians,,2282,User support technicians,B,22221,,2,"2016, 2021",17.5,28.85,47.6,31.4,Labour Force Survey,2020-2021,2022-11-16
2283 - Information systems testing technicians,22222 - Information systems testing technicians,,2283,Information systems testing technicians,B,22222,,2,"2016, 2021",14.5,26.44,48.08,29.55,Labour Force Survey,2020-2021,2022-11-16
3011 - Nursing co-ordinators and supervisors,31300 - Nursing coordinators and supervisors,,3011,Nursing co-ordinators and supervisors,A,31300,Nursing coordinators and supervisors,1,2016,25.0,43.06,54.0,41.41,Labour Force Survey,2020-2021,2022-11-16
3012 - Registered nurses and registered psychiatric nurses,31301 - Registered nurses and registered psychiatric nurses,,3012,Registered nurses and registered psychiatric nurses,A,31301,,1,"2016, 2021",27.03,40.0,49.0,39.26,Labour Force Survey,2020-2021,2022-11-16
3111 - Specialist physicians,,,3111,Specialist physicians,A,,,,2016,100693.95,273510.05,557366.39,,Canadian Institute for Health Information and Canadian Medical Association - custom tabulation,2020-2021,2022-11-16
3112 - General practitioners and family physicians,31102 - General practitioners and family physicians,,3112,General practitioners and family physicians,A,31102,,1,"2016, 2021",76759.47,216833.04,451997.09,,Canadian Institute for Health Information and Canadian Medical Association - custom tabulation,2020-2021,2022-11-16
3113 - Dentists,31110 - Dentists,,3113,Dentists,A,31110,,1,"2016, 2021",30128.0,118394.0,261517.0,139599.0,2016 Census,2016,2022-11-16
3114 - Veterinarians,31103 - Veterinarians,,3114,Veterinarians,A,31103,,1,"2016, 2021",30229.0,85074.0,139667.0,89192.0,2016 Census,2016,2022-11-16
3121 - Optometrists,31111 - Optometrists,,3121,Optometrists,A,31111,,1,"2016, 2021",27446.0,86115.0,167858.0,93730.0,2016 Census,2016,2022-11-16
3122 - Chiropractors,31201 - Chiropractors,,3122,Chiropractors,A,31201,,1,"2016, 2021",27446.0,60077.0,122316.0,69024.0,2016 Census,2016,2022-11-16
3124 - Allied primary health practitioners,,,3124,Allied primary health practitioners,A,,,,2016,30.18,54.01,63.0,51.47,Labour Force Survey,2020-2021,2022-11-16
3125 - Other professional occupations in health diagnosing and treating,31209 - Other professional occupations in health diagnosing and treating,,3125,Other professional occupations in health diagnosing and treating,A,31209,,1,"2016, 2021",27446.0,52517.0,107748.0,61170.0,2016 Census,2016,2022-11-16
3131 - Pharmacists,31120 - Pharmacists,,3131,Pharmacists,A,31120,,1,"2016, 2021",54112.0,104646.0,144300.0,106498.0,2016 Census,2016,2022-11-16
3132 - Dietitians and nutritionists,31121 - Dietitians and nutritionists,,3132,Dietitians and nutritionists,A,31121,,1,"2016, 2021",21.83,38.0,46.0,36.02,Labour Force Survey,2020-2021,2022-11-16
3141 - Audiologists and speech-language pathologists,31112 - Audiologists and speech-language pathologists,,3141,Audiologists and speech-language pathologists,A,31112,,1,"2016, 2021",30.22,44.0,52.45,42.93,Labour Force Survey,2020-2021,2022-11-16
3142 - Physiotherapists,31202 - Physiotherapists,,3142,Physiotherapists,A,31202,,1,"2016, 2021",25.0,41.03,49.68,40.02,Labour Force Survey,2020-2021,2022-11-16
3143 - Occupational therapists,31203 - Occupational therapists,,3143,Occupational therapists,A,31203,,1,"2016, 2021",30.0,41.32,49.23,40.54,Labour Force Survey,2020-2021,2022-11-16
3144 - Other professional occupations in therapy and assessment,nan - Other religious occupations,,3144,Other professional occupations in therapy and assessment,A,,Other religious occupations,,2016,18.0,25.0,43.96,29.31,Labour Force Survey,2020-2021,2022-11-16
3211 - Medical laboratory technologists,32120 - Medical laboratory technologists,,3211,Medical laboratory technologists,B,32120,,2,"2016, 2021",25.0,36.0,44.75,35.72,Labour Force Survey,2020-2021,2022-11-16
3212 - Medical laboratory technicians and pathologists' assistants,,,3212,Medical laboratory technicians and pathologists' assistants,B,,,,2016,19.98,26.0,40.0,28.15,Labour Force Survey,2020-2021,2022-11-16
"3214 - Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","32103 - Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",B,32103,,2,"2016, 2021",26.0,37.0,48.08,37.45,Labour Force Survey,2020-2021,2022-11-16
3215 - Medical radiation technologists,32121 - Medical radiation technologists,,3215,Medical radiation technologists,B,32121,,2,"2016, 2021",25.0,36.22,46.15,36.84,Labour Force Survey,2020-2021,2022-11-16
3216 - Medical sonographers,32122 - Medical sonographers,,3216,Medical sonographers,B,32122,,2,"2016, 2021",26.44,36.71,53.0,39.23,Labour Force Survey,2020-2021,2022-11-16
"3217 - Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",,,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",B,,,,2016,22.0,31.99,38.76,31.14,Labour Force Survey,2020-2021,2022-11-16
3219 - Other medical technologists and technicians (except dental health),,,3219,Other medical technologists and technicians (except dental health),B,,,,2016,14.85,19.5,29.75,21.12,Labour Force Survey,2020-2021,2022-11-16
3221 - Denturists,32110 - Denturists,,3221,Denturists,B,32110,,2,"2016, 2021",27446.0,54425.0,112354.0,62465.0,2016 Census,2016,2022-11-16
3222 - Dental hygienists and dental therapists,32111 - Dental hygienists and dental therapists,,3222,Dental hygienists and dental therapists,B,32111,,2,"2016, 2021",27.0,39.0,55.0,39.45,Labour Force Survey,2020-2021,2022-11-16
"3223 - Dental technologists, technicians and laboratory assistants",,,3223,"Dental technologists, technicians and laboratory assistants",B,,,,2016,16.5,23.88,35.0,25.09,Employment Insurance Survey Data,2020-2021,2022-11-16
3231 - Opticians,32100 - Opticians,,3231,Opticians,B,32100,,2,"2016, 2021",18.0,25.64,32.0,25.83,Labour Force Survey,2020-2021,2022-11-16
3232 - Practitioners of natural healing,,,3232,Practitioners of natural healing,B,,,,2016,22.0,29.67,55.0,34.41,Labour Force Survey,2020-2021,2022-11-16
3233 - Licensed practical nurses,32101 - Licensed practical nurses,,3233,Licensed practical nurses,B,32101,,2,"2016, 2021",22.59,28.7,33.9,28.28,Labour Force Survey,2020-2021,2022-11-16
3234 - Paramedical occupations,32102 - Paramedical occupations,,3234,Paramedical occupations,B,32102,,2,"2016, 2021",23.0,35.3,45.0,34.68,Labour Force Survey,2020-2021,2022-11-16
3236 - Massage therapists,32201 - Massage therapists,,3236,Massage therapists,B,32201,,2,"2016, 2021",17.0,31.3,55.0,34.36,Employment Insurance Survey Data,2020-2021,2022-11-16
3237 - Other technical occupations in therapy and assessment,32109 - Other technical occupations in therapy and assessment,,3237,Other technical occupations in therapy and assessment,B,32109,,2,"2016, 2021",17.0,24.0,33.86,24.96,Labour Force Survey,2020-2021,2022-11-16
3411 - Dental assistants,33100 - Dental assistants and dental laboratory assistants,,3411,Dental assistants,C,33100,Dental assistants and dental laboratory assistants,3,2016,19.0,24.73,33.0,25.37,Labour Force Survey,2020-2021,2022-11-16
"3413 - Nurse aides, orderlies and patient service associates","33102 - Nurse aides, orderlies and patient service associates",,3413,"Nurse aides, orderlies and patient service associates",C,33102,,3,"2016, 2021",16.0,21.0,25.83,21.54,Labour Force Survey,2020-2021,2022-11-16
3414 - Other assisting occupations in support of health services,33109 - Other assisting occupations in support of health services,,3414,Other assisting occupations in support of health services,C,33109,,3,"2016, 2021",15.0,21.0,28.0,21.83,Labour Force Survey,2020-2021,2022-11-16
4011 - University professors and lecturers,41200 - University professors and lecturers,,4011,University professors and lecturers,A,41200,,1,"2016, 2021",25.0,53.85,80.77,53.01,Labour Force Survey,2020-2021,2022-11-16
4012 - Post-secondary teaching and research assistants,41201 - Post-secondary teaching and research assistants,,4012,Post-secondary teaching and research assistants,A,41201,,1,"2016, 2021",13.0,25.0,45.19,27.56,Labour Force Survey,2020-2021,2022-11-16
4021 - College and other vocational instructors,41210 - College and other vocational instructors,,4021,College and other vocational instructors,A,41210,,1,"2016, 2021",20.0,41.35,57.96,41.15,Labour Force Survey,2020-2021,2022-11-16
4031 - Secondary school teachers,41220 - Secondary school teachers,,4031,Secondary school teachers,A,41220,,1,"2016, 2021",28.57,43.96,55.38,42.98,Labour Force Survey,2020-2021,2022-11-16
4032 - Elementary school and kindergarten teachers,41221 - Elementary school and kindergarten teachers,,4032,Elementary school and kindergarten teachers,A,41221,,1,"2016, 2021",25.0,41.21,53.27,40.08,Labour Force Survey,2020-2021,2022-11-16
4033 - Educational counsellors,41320 - Educational counsellors,,4033,Educational counsellors,A,41320,,1,"2016, 2021",24.62,40.76,49.52,38.7,Labour Force Survey,2020-2021,2022-11-16
4111 - Judges,41100 - Judges,,4111,Judges,A,41100,,1,"2016, 2021",254518.0,355536.6,383371.6,326012.31,Administrative data for judges,2021,2022-11-16
4112 - Lawyers and Quebec notaries,41101 - Lawyers and Quebec notaries,,4112,Lawyers and Quebec notaries,A,41101,,1,"2016, 2021",37347.0,116940.0,294346.0,166238.0,2016 Census,2016,2022-11-16
4151 - Psychologists,31200 - Psychologists,,4151,Psychologists,A,31200,,1,"2016, 2021",24.0,43.5,58.79,42.31,Labour Force Survey,2020-2021,2022-11-16
4152 - Social workers,41300 - Social workers,,4152,Social workers,A,41300,,1,"2016, 2021",24.0,36.0,47.5,35.95,Labour Force Survey,2020-2021,2022-11-16
"4153 - Family, marriage and other related counsellors",,,4153,"Family, marriage and other related counsellors",A,,,,2016,19.0,29.0,45.0,31.09,Labour Force Survey,2020-2021,2022-11-16
4154 - Professional occupations in religion,,,4154,Professional occupations in religion,A,,,,2016,15.0,25.64,39.5,26.92,Labour Force Survey,2020-2021,2022-11-16
4155 - Probation and parole officers and related occupations,,,4155,Probation and parole officers and related occupations,A,,,,2016,28.0,41.44,50.77,40.28,Labour Force Survey,2020-2021,2022-11-16
4156 - Employment counsellors,12104 - Employment insurance and revenue officers,,4156,Employment counsellors,A,12104,Employment insurance and revenue officers,2,2016,21.0,27.0,41.73,28.31,Labour Force Survey,2020-2021,2022-11-16
"4161 - Natural and applied science policy researchers, consultants and program officers","41400 - Natural and applied science policy researchers, consultants and program officers",,4161,"Natural and applied science policy researchers, consultants and program officers",A,41400,,1,"2016, 2021",26.64,40.62,59.86,42.47,Labour Force Survey,2020-2021,2022-11-16
4162 - Economists and economic policy researchers and analysts,41401 - Economists and economic policy researchers and analysts,,4162,Economists and economic policy researchers and analysts,A,41401,,1,"2016, 2021",29.96,47.24,71.79,48.78,Labour Force Survey,2020-2021,2022-11-16
4163 - Business development officers and marketing researchers and consultants,,,4163,Business development officers and marketing researchers and consultants,A,,,,2016,22.0,40.38,65.89,42.22,Labour Force Survey,2020-2021,2022-11-16
"4164 - Social policy researchers, consultants and program officers","41403 - Social policy researchers, consultants and program officers",,4164,"Social policy researchers, consultants and program officers",A,41403,,1,"2016, 2021",23.0,38.35,54.09,38.65,Labour Force Survey,2020-2021,2022-11-16
"4165 - Health policy researchers, consultants and program officers","41404 - Health policy researchers, consultants and program officers",,4165,"Health policy researchers, consultants and program officers",A,41404,,1,"2016, 2021",21.64,40.0,56.0,39.83,Labour Force Survey,2020-2021,2022-11-16
"4166 - Education policy researchers, consultants and program officers","41405 - Education policy researchers, consultants and program officers",,4166,"Education policy researchers, consultants and program officers",A,41405,,1,"2016, 2021",23.56,38.46,54.49,38.83,Labour Force Survey,2020-2021,2022-11-16
"4167 - Recreation, sports and fitness policy researchers, consultants and program officers","41406 - Recreation, sports and fitness policy researchers, consultants and program officers",,4167,"Recreation, sports and fitness policy researchers, consultants and program officers",A,41406,,1,"2016, 2021",17.75,29.0,44.0,30.37,Labour Force Survey,2020-2021,2022-11-16
4168 - Program officers unique to government,41407 - Program officers unique to government,,4168,Program officers unique to government,A,41407,,1,"2016, 2021",23.75,43.59,63.29,43.74,Labour Force Survey,2020-2021,2022-11-16
"4169 - Other professional occupations in social science, n.e.c.",nan - Other professional occupations in therapy and assessment,,4169,"Other professional occupations in social science, n.e.c.",A,,Other professional occupations in therapy and assessment,,2016,19.0,38.0,59.0,37.88,Labour Force Survey,2020-2021,2022-11-16
4211 - Paralegal and related occupations,42200 - Paralegals and related occupations,,4211,Paralegal and related occupations,B,42200,Paralegals and related occupations,2,2016,18.0,28.85,46.7,31.31,Labour Force Survey,2020-2021,2022-11-16
4212 - Social and community service workers,42201 - Social and community service workers,,4212,Social and community service workers,B,42201,,2,"2016, 2021",16.75,23.5,35.71,25.18,Labour Force Survey,2020-2021,2022-11-16
4214 - Early childhood educators and assistants,42202 - Early childhood educators and assistants,,4214,Early childhood educators and assistants,B,42202,,2,"2016, 2021",15.0,20.2,26.5,20.88,Labour Force Survey,2020-2021,2022-11-16
4215 - Instructors of persons with disabilities,42203 - Instructors of persons with disabilities,,4215,Instructors of persons with disabilities,B,42203,,2,"2016, 2021",18.0,27.47,41.35,28.51,Labour Force Survey,2020-2021,2022-11-16
4216 - Other instructors,43109 - Other instructors,,4216,Other instructors,B,43109,,3,"2016, 2021",14.5,20.0,35.0,23.09,Labour Force Survey,2020-2021,2022-11-16
4217 - Other religious occupations,65329 - Other service support occupations,,4217,Other religious occupations,B,65329,Other service support occupations,5,2016,13.0,18.0,27.88,19.3,Labour Force Survey,2020-2021,2022-11-16
4311 - Police officers (except commissioned),42100 - Police officers (except commissioned),,4311,Police officers (except commissioned),B,42100,,2,"2016, 2021",28.85,46.15,57.99,45.37,Labour Force Survey,2020-2021,2022-11-16
4312 - Firefighters,42101 - Firefighters,,4312,Firefighters,B,42101,,2,"2016, 2021",25.57,45.0,56.0,43.17,Labour Force Survey,2020-2021,2022-11-16
4313 - Non-commissioned ranks of the Canadian Forces,,,4313,Non-commissioned ranks of the Canadian Forces,B,,,,2016,22.12,32.16,42.24,32.32,2016 Census,2016,2022-11-16
4411 - Home child care providers,44100 - Home child care providers,,4411,Home child care providers,C,44100,,4,"2016, 2021",13.0,17.0,23.12,18.03,Labour Force Survey,2020-2021,2022-11-16
4413 - Elementary and secondary school teacher assistants,43100 - Elementary and secondary school teacher assistants,,4413,Elementary and secondary school teacher assistants,C,43100,,3,"2016, 2021",16.0,23.0,29.68,23.51,Labour Force Survey,2020-2021,2022-11-16
4421 - Sheriffs and bailiffs,43200 - Sheriffs and bailiffs,,4421,Sheriffs and bailiffs,C,43200,,3,"2016, 2021",17.0,31.79,41.35,30.24,Labour Force Survey,2020-2021,2022-11-16
4422 - Correctional service officers,43201 - Correctional service officers,,4422,Correctional service officers,C,43201,,3,"2016, 2021",25.0,34.0,42.95,34.11,Labour Force Survey,2020-2021,2022-11-16
"4423 - By-law enforcement and other regulatory officers, n.e.c.",,,4423,"By-law enforcement and other regulatory officers, n.e.c.",C,,,,2016,19.23,34.21,46.47,34.79,Labour Force Survey,2020-2021,2022-11-16
5111 - Librarians,51100 - Librarians,,5111,Librarians,A,51100,,1,"2016, 2021",25.0,40.0,53.85,39.62,Labour Force Survey,2020-2021,2022-11-16
5112 - Conservators and curators,51101 - Conservators and curators,,5112,Conservators and curators,A,51101,,1,"2016, 2021",14.5,21.75,38.54,24.83,Employment Insurance Survey Data,2020-2021,2022-11-16
5113 - Archivists,51102 - Archivists,,5113,Archivists,A,51102,,1,"2016, 2021",14.5,20.76,35.0,23.08,Employment Insurance Survey Data,2020-2021,2022-11-16
5121 - Authors and writers,51111 - Authors and writers (except technical),,5121,Authors and writers,A,51111,Authors and writers (except technical),1,2016,19.0,32.0,47.12,32.83,Labour Force Survey,2020-2021,2022-11-16
5122 - Editors,51110 - Editors,,5122,Editors,A,51110,,1,"2016, 2021",17.5,31.25,46.36,31.71,Labour Force Survey,2020-2021,2022-11-16
"5125 - Translators, terminologists and interpreters","51114 - Translators, terminologists and interpreters",,5125,"Translators, terminologists and interpreters",A,51114,,1,"2016, 2021",19.23,28.85,43.59,30.15,Labour Force Survey,2020-2021,2022-11-16
"5131 - Producers, directors, choreographers and related occupations","51120 - Producers, directors, choreographers and related occupations",,5131,"Producers, directors, choreographers and related occupations",A,51120,,1,"2016, 2021",20.51,35.0,48.08,34.42,Labour Force Survey,2020-2021,2022-11-16
"5132 - Conductors, composers and arrangers","51121 - Conductors, composers and arrangers",,5132,"Conductors, composers and arrangers",A,51121,,1,"2016, 2021",27446.0,36099.0,88017.0,45043.0,2016 Census,2016,2022-11-16
5133 - Musicians and singers,51122 - Musicians and singers,,5133,Musicians and singers,A,51122,,1,"2016, 2021",14.0,25.0,40.38,25.27,Labour Force Survey,2020-2021,2022-11-16
5134 - Dancers,53120 - Dancers,,5134,Dancers,A,53120,,3,"2016, 2021",15.5,26.89,46.8,29.8,Employment Insurance Survey Data,2020-2021,2022-11-16
5135 - Actors and comedians,"53121 - Actors, comedians and circus performers",,5135,Actors and comedians,A,53121,"Actors, comedians and circus performers",3,2016,14.0,18.75,37.0,29.35,Employment Insurance Survey Data,2020-2021,2022-11-16
"5136 - Painters, sculptors and other visual artists","53122 - Painters, sculptors and other visual artists",,5136,"Painters, sculptors and other visual artists",A,53122,,3,"2016, 2021",15.28,25.0,45.0,29.37,Employment Insurance Survey Data,2020-2021,2022-11-16
5211 - Library and public archive technicians,52100 - Library and public archive technicians,,5211,Library and public archive technicians,B,52100,,2,"2016, 2021",15.0,24.5,38.68,27.48,Labour Force Survey,2020-2021,2022-11-16
5212 - Technical occupations related to museums and art galleries,,,5212,Technical occupations related to museums and art galleries,B,,,,2016,14.58,19.8,31.93,21.51,Labour Force Survey,2020-2021,2022-11-16
5221 - Photographers,53110 - Photographers,,5221,Photographers,B,53110,,3,"2016, 2021",15.0,20.0,40.0,24.02,Labour Force Survey,2020-2021,2022-11-16
5222 - Film and video camera operators,52110 - Film and video camera operators,,5222,Film and video camera operators,B,52110,,2,"2016, 2021",19.62,31.25,40.0,30.58,Labour Force Survey,2020-2021,2022-11-16
5223 - Graphic arts technicians,52111 - Graphic arts technicians,,5223,Graphic arts technicians,B,52111,,2,"2016, 2021",16.92,30.25,45.0,30.62,Labour Force Survey,2020-2021,2022-11-16
5224 - Broadcast technicians,52112 - Broadcast technicians,,5224,Broadcast technicians,B,52112,,2,"2016, 2021",17.0,27.5,42.5,29.11,Employment Insurance Survey Data,2020-2021,2022-11-16
5225 - Audio and video recording technicians,52113 - Audio and video recording technicians,,5225,Audio and video recording technicians,B,52113,,2,"2016, 2021",17.32,28.0,42.0,29.21,Employment Insurance Survey Data,2020-2021,2022-11-16
"5226 - Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts","52119 - Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",,5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",B,52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",2,2016,17.25,30.0,40.0,29.36,Employment Insurance Survey Data,2020-2021,2022-11-16
"5227 - Support occupations in motion pictures, broadcasting, photography and the performing arts",,,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",B,,,,2016,15.0,22.25,36.0,24.65,Employment Insurance Survey Data,2020-2021,2022-11-16
5231 - Announcers and other broadcasters,52114 - Announcers and other broadcasters,,5231,Announcers and other broadcasters,B,52114,,2,"2016, 2021",17.0,27.4,47.69,30.32,Labour Force Survey,2020-2021,2022-11-16
"5232 - Other performers, n.e.c.",,,5232,"Other performers, n.e.c.",B,,,,2016,14.0,25.0,70.2,34.23,Employment Insurance Survey Data,2020-2021,2022-11-16
5241 - Graphic designers and illustrators,52120 - Graphic designers and illustrators,,5241,Graphic designers and illustrators,B,52120,,2,"2016, 2021",18.3,28.0,43.27,29.79,Labour Force Survey,2020-2021,2022-11-16
5242 - Interior designers and interior decorators,52121 - Interior designers and interior decorators,,5242,Interior designers and interior decorators,B,52121,,2,"2016, 2021",15.0,24.48,44.42,27.79,Labour Force Survey,2020-2021,2022-11-16
"5243 - Theatre, fashion, exhibit and other creative designers","53123 - Theatre, fashion, exhibit and other creative designers",,5243,"Theatre, fashion, exhibit and other creative designers",B,53123,,3,"2016, 2021",17.0,24.44,41.03,27.13,Labour Force Survey,2020-2021,2022-11-16
5244 - Artisans and craftspersons,53124 - Artisans and craftspersons,,5244,Artisans and craftspersons,B,53124,,3,"2016, 2021",13.6,17.96,27.25,19.39,Employment Insurance Survey Data,2020-2021,2022-11-16
"5245 - Patternmakers - textile, leather and fur products","53125 - Patternmakers - textile, leather and fur products",,5245,"Patternmakers - textile, leather and fur products",B,53125,,3,"2016, 2021",17.0,26.75,37.45,27.27,Employment Insurance Survey Data,2020-2021,2022-11-16
5251 - Athletes,53200 - Athletes,,5251,Athletes,B,53200,,3,"2016, 2021",14.34,22.0,47.59,28.04,Employment Insurance Survey Data,2020-2021,2022-11-16
5252 - Coaches,53201 - Coaches,,5252,Coaches,B,53201,,3,"2016, 2021",13.74,25.0,45.0,29.99,Labour Force Survey,2020-2021,2022-11-16
5253 - Sports officials and referees,53202 - Sports officials and referees,,5253,Sports officials and referees,B,53202,,3,"2016, 2021",14.0,16.5,32.33,22.63,Employment Insurance Survey Data,2020-2021,2022-11-16
"5254 - Program leaders and instructors in recreation, sport and fitness","54100 - Program leaders and instructors in recreation, sport and fitness",,5254,"Program leaders and instructors in recreation, sport and fitness",B,54100,,4,"2016, 2021",13.5,17.77,29.0,19.57,Labour Force Survey,2020-2021,2022-11-16
6211 - Retail sales supervisors,62010 - Retail sales supervisors,,6211,Retail sales supervisors,B,62010,,2,"2016, 2021",14.5,20.0,32.69,22.11,Labour Force Survey,2020-2021,2022-11-16
6221 - Technical sales specialists - wholesale trade,62100 - Technical sales specialists - wholesale trade,,6221,Technical sales specialists - wholesale trade,B,62100,,2,"2016, 2021",17.4,28.82,43.27,29.52,Labour Force Survey,2020-2021,2022-11-16
6222 - Retail and wholesale buyers,62101 - Retail and wholesale buyers,,6222,Retail and wholesale buyers,B,62101,,2,"2016, 2021",16.0,26.44,38.46,26.85,Labour Force Survey,2020-2021,2022-11-16
6231 - Insurance agents and brokers,63100 - Insurance agents and brokers,,6231,Insurance agents and brokers,B,63100,,3,"2016, 2021",17.0,25.68,38.46,27.16,Labour Force Survey,2020-2021,2022-11-16
6232 - Real estate agents and salespersons,63101 - Real estate agents and salespersons,,6232,Real estate agents and salespersons,B,63101,,3,"2016, 2021",27446.0,46212.0,134783.0,67176.0,2016 Census,2016,2022-11-16
6235 - Financial sales representatives,63102 - Financial sales representatives,,6235,Financial sales representatives,B,63102,,3,"2016, 2021",18.0,26.67,41.25,28.18,Labour Force Survey,2020-2021,2022-11-16
6311 - Food service supervisors,62020 - Food service supervisors,,6311,Food service supervisors,B,62020,,2,"2016, 2021",13.6,16.5,24.04,17.97,Labour Force Survey,2020-2021,2022-11-16
6312 - Executive housekeepers,62021 - Executive housekeepers,,6312,Executive housekeepers,B,62021,,2,"2016, 2021",15.3,20.0,30.75,21.89,Labour Force Survey,2020-2021,2022-11-16
